subgenus Drosophila	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	over_represented_FDR	go_term	gene_ids
subgenus Drosophila	GO:0034641	1.1838625809446E-08	1	3	3	cellular nitrogen compound metabolic process	BP	1.75803593270272E-06	BP cellular nitrogen compound metabolic process	group7814, group2599, group8591
subgenus Drosophila	GO:1902494	1.23240162491204E-08	1	3	3	catalytic complex	CC	1.79684156912176E-06	CC catalytic complex	group7814, group9097, group8496
subgenus Drosophila	GO:0032502	1.4861066057614E-08	0.999999999954954	4	13	developmental process	BP	1.98604264405903E-06	BP developmental process	group7814, group8809, group2599, group9097
subgenus Drosophila	GO:0033036	1.53426512689222E-08	1	3	3	macromolecule localization	BP	1.98604264405903E-06	BP macromolecule localization	group8518, group8809, group9250
subgenus Drosophila	GO:0051641	1.53426512689222E-08	1	3	3	cellular localization	BP	1.98604264405903E-06	BP cellular localization	group8518, group8809, group9250
subgenus Drosophila	GO:0016740	1.59722228945896E-08	1	3	3	transferase activity	MF	1.98604264405903E-06	MF transferase activity	group7772, group8496, group2649
subgenus Drosophila	GO:0140096	1.59722228945896E-08	1	3	3	catalytic activity, acting on a protein	MF	1.98604264405903E-06	MF catalytic activity, acting on a protein	group7772, group8496, group2649
subgenus Drosophila	GO:0009059	1.59967315190224E-08	1	3	3	macromolecule biosynthetic process	BP	1.98604264405903E-06	BP macromolecule biosynthetic process	group7814, group7772, group8591
subgenus Drosophila	GO:0034645	1.59967315190224E-08	1	3	3	cellular macromolecule biosynthetic process	BP	1.98604264405903E-06	BP cellular macromolecule biosynthetic process	group7814, group7772, group8591
subgenus Drosophila	GO:0044249	1.59967315190224E-08	1	3	3	cellular biosynthetic process	BP	1.98604264405903E-06	BP cellular biosynthetic process	group7814, group7772, group8591
subgenus Drosophila	GO:1901576	1.59967315190224E-08	1	3	3	organic substance biosynthetic process	BP	1.98604264405903E-06	BP organic substance biosynthetic process	group7814, group7772, group8591
subgenus Drosophila	GO:0006810	1.63460299922554E-08	1	3	3	transport	BP	1.98604264405903E-06	BP transport	group8518, group9250, group2649
